CONTRIBUTOR,ok
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",25
"NNP GZC Car '10WHITE', Person 'A'",5
"NNP GZC Car '11WHITE', Person 'A'",81
"NNP GZC Car '12WHITE', Person 'A'",9
"NNP GZC Car '13WHITE', Person 'A'",16
"NNP GZC Car '13WHITE', Person 'B'",35
"NNP GZC Car '14WHITE', Person 'A'",45
"NNP GZC Car '15WHITE', Person 'A'",43
"NNP GZC Car '15WHITE', Person 'B'",6
"NNP GZC Car '15WHITE', Person 'C'",6
"NNP GZC Car '15WHITE', Person 'D'",13
"NNP GZC Car '16WHITE', Person 'A'",4
"NNP GZC Car '17WHITE', Person 'A'",11
"NNP GZC Car '17WHITE', Person 'C'",11
"NNP GZC Car '1BLUE', Person 'A'",12
"NNP GZC Car '1BLUE', Person 'B'",38
"NNP GZC Car '1BLUE', Person 'C'",51
"NNP GZC Car '1BLUE', Person 'D'",2
"NNP GZC Car '1PURPLE', Person 'A'",136
"NNP GZC Car '1PURPLE', Person 'B'",187
"NNP GZC Car '1PURPLE', Person 'C'",15
"NNP GZC Car '1PURPLE', Person 'D'",182
"NNP GZC Car '1RED', Person 'A'",81
"NNP GZC Car '1RED', Person 'B'",184
"NNP GZC Car '1WHITE', Person 'A'",45
"NNP GZC Car '1WHITE', Person 'B'",44
"NNP GZC Car '1WHITE', Person 'C'",43
"NNP GZC Car '25PURPLE', Person 'A'",29
"NNP GZC Car '2RED', Person 'A'",61
"NNP GZC Car '2RED', Person 'B'",71
"NNP GZC Car '2RED', Person 'C'",80
"NNP GZC Car '2RED', Person 'D'",32
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '2WHITE', Person 'A'",22
"NNP GZC Car '3PURPLE', Person 'A'",6
"NNP GZC Car '3PURPLE', Person 'B'",19
"NNP GZC Car '3RED', Person 'A'",35
"NNP GZC Car '3RED', Person 'B'",36
"NNP GZC Car '3WHITE', Person 'A'",79
"NNP GZC Car '4RED', Person 'A'",27
"NNP GZC Car '4RED', Person 'B'",3
"NNP GZC Car '4WHITE', Person 'A'",5
"NNP GZC Car '5RED', Person 'A'",1
"NNP GZC Car '5RED', Person 'C'",2
"NNP GZC Car '5WHITE', Person 'A'",62
"NNP GZC Car '6RED', Person 'A'",70
"NNP GZC Car '6RED', Person 'B'",124
"NNP GZC Car '6WHITE', Person 'B'",94
"NNP GZC Car '7WHITE', Person 'A'",32
"NNP GZC Car '7WHITE', Person 'B'",31
"NNP GZC Car '8WHITE', Person 'A'",91
"NNP GZC Car '9WHITE', Person 'A'",7
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",594
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",157
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",171
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",64
