CONTRIBUTOR,excellent,good,ok,poor,junk,Sum
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",3,4,25,6,0,38
"NNP GZC Car '10WHITE', Person 'A'",0,0,3,0,0,3
"NNP GZC Car '11WHITE', Person 'A'",0,11,9,0,0,20
"NNP GZC Car '12WHITE', Person 'A'",0,2,1,0,0,3
"NNP GZC Car '13WHITE', Person 'A'",0,6,4,0,0,10
"NNP GZC Car '13WHITE', Person 'B'",0,8,6,0,0,14
"NNP GZC Car '15WHITE', Person 'A'",3,12,3,0,0,18
"NNP GZC Car '15WHITE', Person 'B'",0,3,4,0,0,7
"NNP GZC Car '15WHITE', Person 'C'",0,0,2,0,0,2
"NNP GZC Car '15WHITE', Person 'D'",0,8,4,0,0,12
"NNP GZC Car '16WHITE', Person 'A'",0,1,4,0,0,5
"NNP GZC Car '17WHITE', Person 'C'",0,0,1,0,0,1
"NNP GZC Car '1BLUE', Person 'A'",0,4,2,0,0,6
"NNP GZC Car '1BLUE', Person 'B'",0,1,9,0,0,10
"NNP GZC Car '1BLUE', Person 'C'",1,0,9,0,0,10
"NNP GZC Car '1PURPLE', Person 'A'",0,1,3,0,0,4
"NNP GZC Car '1PURPLE', Person 'B'",0,2,2,0,0,4
"NNP GZC Car '1PURPLE', Person 'C'",0,0,5,0,0,5
"NNP GZC Car '1PURPLE', Person 'D'",0,3,19,0,0,22
"NNP GZC Car '1RED', Person 'A'",2,0,1,0,0,3
"NNP GZC Car '1RED', Person 'B'",6,7,7,0,0,20
"NNP GZC Car '1WHITE', Person 'A'",1,15,24,7,0,47
"NNP GZC Car '1WHITE', Person 'B'",0,6,10,1,0,17
"NNP GZC Car '1WHITE', Person 'C'",1,8,11,3,0,23
"NNP GZC Car '2RED', Person 'A'",0,1,11,0,0,12
"NNP GZC Car '2RED', Person 'B'",0,0,3,0,0,3
"NNP GZC Car '2RED', Person 'C'",0,0,7,0,0,7
"NNP GZC Car '2RED', Person 'D'",0,0,11,0,0,11
"NNP GZC Car '3PURPLE', Person 'A'",0,0,2,0,0,2
"NNP GZC Car '3PURPLE', Person 'B'",1,1,5,0,0,7
"NNP GZC Car '3RED', Person 'A'",0,1,5,0,0,6
"NNP GZC Car '3RED', Person 'B'",1,0,5,0,0,6
"NNP GZC Car '3WHITE', Person 'A'",3,11,28,0,0,42
"NNP GZC Car '4RED', Person 'A'",0,0,1,0,0,1
"NNP GZC Car '4WHITE', Person 'A'",0,0,3,0,0,3
"NNP GZC Car '5WHITE', Person 'A'",2,9,3,0,0,14
"NNP GZC Car '6RED', Person 'A'",0,0,1,0,0,1
"NNP GZC Car '6RED', Person 'B'",0,0,7,0,0,7
"NNP GZC Car '6WHITE', Person 'B'",0,16,11,0,0,27
"NNP GZC Car '7WHITE', Person 'A'",0,3,0,0,0,3
"NNP GZC Car '7WHITE', Person 'B'",0,1,6,0,0,7
"NNP GZC Car '8WHITE', Person 'A'",0,11,17,0,0,28
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",10,46,80,9,0,145
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,0,3,0,0,3
