CONTRIBUTOR,image_contributor_tag
"NNP GZC Car '2WHITE', Person 'A'",65
"NNP GZC Car '6WHITE', Person 'B'",177
"NNP GZC Car '2RED', Person 'A'",115
"NNP GZC Car '15WHITE', Person 'A'",53
"NNP GZC Car '11WHITE', Person 'A'",119
"NNP GZC Car '2RED', Person 'D'",46
"NNP GZC Car '1BLUE', Person 'A'",25
"NNP GZC Car '17WHITE', Person 'A'",12
"NNP GZC Car '7WHITE', Person 'B'",37
"NNP GZC Car '3PURPLE', Person 'B'",36
"NNP GZC Car '4WHITE', Person 'A'",20
"NNP GZC Car '15WHITE', Person 'D'",18
"NNP GZC Car '1PURPLE', Person 'C'",22
"NNP GZC Car '4RED', Person 'B'",4
"NNP GZC Car '1WHITE', Person 'C'",101
"NNP GZC Car '1PURPLE', Person 'B'",426
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",365
"NNP GZC Car '14WHITE', Person 'A'",110
"NNP GZC Car '17WHITE', Person 'C'",14
"NNP GZC Car '3RED', Person 'B'",65
"NNP GZC Car '1PURPLE', Person 'A'",354
"NNP GZC Car '13WHITE', Person 'A'",13
"NNP GZC Car '1PURPLE', Person 'D'",493
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1164
"NNP GZC Car '5RED', Person 'A'",2
"NNP GZC Car '15WHITE', Person 'B'",2
"NNP GZC Car '13WHITE', Person 'B'",51
"NNP GZC Car '6RED', Person 'B'",159
"NNP GZC Car '3PURPLE', Person 'A'",9
"NNP GZC Car '1RED', Person 'A'",112
"NNP GZC Car '1WHITE', Person 'B'",96
"NNP GZC Car '1BLUE', Person 'B'",68
"NNP GZC Car '25PURPLE', Person 'A'",130
"NNP GZC Car '1BLUE', Person 'C'",74
"NNP GZC Car '4RED', Person 'A'",31
"NNP GZC Car '15WHITE', Person 'C'",4
"NNP GZC Car '1BLUE', Person 'D'",14
"NNP GZC Car '2RED', Person 'B'",107
"NNP GZC Car '5RED', Person 'C'",7
"NNP GZC Car '10WHITE', Person 'A'",13
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",355
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",134
"NNP GZC Car '5WHITE', Person 'A'",137
"NNP GZC Car '3WHITE', Person 'A'",98
"NNP GZC Car '7WHITE', Person 'A'",46
"NNP GZC Car '2RED', Person 'E'",1
"NNP GZC Car '12WHITE', Person 'A'",28
"NNP GZC Car '8WHITE', Person 'A'",144
"NNP GZC Car '9WHITE', Person 'A'",27
"NNP GZC Car '1RED', Person 'B'",248
"NNP GZC Car '2RED', Person 'C'",111
"NNP GZC Car '1WHITE', Person 'A'",58
"NNP GZC Car '3RED', Person 'A'",72
"NNP GZC Car '6RED', Person 'A'",94
