CONTRIBUTOR,giraffe_masai,zebra_plains,Sum
"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",38,0,38
"NNP GZC Car '10WHITE', Person 'A'",3,13,16
"NNP GZC Car '11WHITE', Person 'A'",20,119,139
"NNP GZC Car '12WHITE', Person 'A'",3,28,31
"NNP GZC Car '13WHITE', Person 'A'",10,13,23
"NNP GZC Car '13WHITE', Person 'B'",14,51,65
"NNP GZC Car '14WHITE', Person 'A'",0,110,110
"NNP GZC Car '15WHITE', Person 'A'",18,53,71
"NNP GZC Car '15WHITE', Person 'B'",7,2,9
"NNP GZC Car '15WHITE', Person 'C'",2,4,6
"NNP GZC Car '15WHITE', Person 'D'",12,18,30
"NNP GZC Car '16WHITE', Person 'A'",5,0,5
"NNP GZC Car '17WHITE', Person 'A'",0,12,12
"NNP GZC Car '17WHITE', Person 'C'",1,14,15
"NNP GZC Car '1BLUE', Person 'A'",6,25,31
"NNP GZC Car '1BLUE', Person 'B'",10,68,78
"NNP GZC Car '1BLUE', Person 'C'",10,74,84
"NNP GZC Car '1BLUE', Person 'D'",0,14,14
"NNP GZC Car '1PURPLE', Person 'A'",4,354,358
"NNP GZC Car '1PURPLE', Person 'B'",4,426,430
"NNP GZC Car '1PURPLE', Person 'C'",5,22,27
"NNP GZC Car '1PURPLE', Person 'D'",22,493,515
"NNP GZC Car '1RED', Person 'A'",3,112,115
"NNP GZC Car '1RED', Person 'B'",20,248,268
"NNP GZC Car '1WHITE', Person 'A'",47,58,105
"NNP GZC Car '1WHITE', Person 'B'",17,96,113
"NNP GZC Car '1WHITE', Person 'C'",23,101,124
"NNP GZC Car '25PURPLE', Person 'A'",0,130,130
"NNP GZC Car '2RED', Person 'A'",12,115,127
"NNP GZC Car '2RED', Person 'B'",3,107,110
"NNP GZC Car '2RED', Person 'C'",7,111,118
"NNP GZC Car '2RED', Person 'D'",11,46,57
"NNP GZC Car '2RED', Person 'E'",0,1,1
"NNP GZC Car '2WHITE', Person 'A'",0,65,65
"NNP GZC Car '3PURPLE', Person 'A'",2,9,11
"NNP GZC Car '3PURPLE', Person 'B'",7,36,43
"NNP GZC Car '3RED', Person 'A'",6,72,78
"NNP GZC Car '3RED', Person 'B'",6,65,71
"NNP GZC Car '3WHITE', Person 'A'",42,98,140
"NNP GZC Car '4RED', Person 'A'",1,31,32
"NNP GZC Car '4RED', Person 'B'",0,4,4
"NNP GZC Car '4WHITE', Person 'A'",3,20,23
"NNP GZC Car '5RED', Person 'A'",0,2,2
"NNP GZC Car '5RED', Person 'C'",0,7,7
"NNP GZC Car '5WHITE', Person 'A'",14,137,151
"NNP GZC Car '6RED', Person 'A'",1,94,95
"NNP GZC Car '6RED', Person 'B'",7,159,166
"NNP GZC Car '6WHITE', Person 'B'",27,177,204
"NNP GZC Car '7WHITE', Person 'A'",3,46,49
"NNP GZC Car '7WHITE', Person 'B'",7,37,44
"NNP GZC Car '8WHITE', Person 'A'",28,144,172
"NNP GZC Car '9WHITE', Person 'A'",0,27,27
"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",145,1164,1309
"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",3,365,368
"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",0,355,355
"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",0,134,134
